Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-11-02 14:09:28,2018-11-02 14:13:23,3m - 54.425s,FAILED
,,,,,,
Test Cases/Open,,,2018-11-02 14:09:29,2018-11-02 14:11:04,1m - 35.349s,PASSED
startApplication,,,2018-11-02 14:09:29,2018-11-02 14:11:04,1m - 34.698s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-11-02 14:11:04,2018-11-02 14:13:22,2m - 17.780s,FAILED
delay,,,2018-11-02 14:11:05,2018-11-02 14:11:20,15.078s,PASSED
tap,,,2018-11-02 14:11:20,2018-11-02 14:11:25,4.756s,PASSED
tap,,,2018-11-02 14:11:25,2018-11-02 14:11:28,3.071s,PASSED
tap,,,2018-11-02 14:11:28,2018-11-02 14:11:32,3.960s,PASSED
delay,,,2018-11-02 14:11:32,2018-11-02 14:11:40,8.010s,PASSED
tap,,,2018-11-02 14:11:40,2018-11-02 14:11:42,2.053s,PASSED
tap,,,2018-11-02 14:11:42,2018-11-02 14:11:46,3.791s,PASSED
tap,,,2018-11-02 14:11:46,2018-11-02 14:11:56,10.678s,PASSED
tap,,,2018-11-02 14:11:56,2018-11-02 14:12:33,37.104s,PASSED
tap,,,2018-11-02 14:12:33,2018-11-02 14:12:36,2.841s,PASSED
tap,,,2018-11-02 14:12:36,2018-11-02 14:12:39,3.060s,PASSED
delay,,,2018-11-02 14:12:39,2018-11-02 14:12:47,8.007s,PASSED
tap,,,2018-11-02 14:12:47,2018-11-02 14:12:49,1.283s,PASSED
delay,,,2018-11-02 14:12:49,2018-11-02 14:12:57,8.002s,PASSED
tap,,,2018-11-02 14:12:57,2018-11-02 14:12:59,2.015s,PASSED
delay,,,2018-11-02 14:12:59,2018-11-02 14:13:07,8.001s,PASSED
scrollToText,,,2018-11-02 14:13:07,2018-11-02 14:13:10,3.829s,PASSED
tap,,,2018-11-02 14:13:10,2018-11-02 14:13:13,2.088s,PASSED
tap,,,2018-11-02 14:13:13,2018-11-02 14:13:22,9.360s,FAILED
