Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD,,,2018-10-04 19:06:41,2018-10-04 19:07:26,45.458s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-04 19:06:41,2018-10-04 19:07:11,29.425s,PASSED
startApplication,,,2018-10-04 19:06:42,2018-10-04 19:07:11,29.066s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-04 19:07:11,2018-10-04 19:07:26,15.171s,FAILED
tap,,,2018-10-04 19:07:11,2018-10-04 19:07:14,2.954s,PASSED
swipe,,,2018-10-04 19:07:14,2018-10-04 19:07:17,2.739s,PASSED
tap,,,2018-10-04 19:07:17,2018-10-04 19:07:20,2.982s,PASSED
tap,,,2018-10-04 19:07:20,2018-10-04 19:07:26,6.151s,FAILED
