Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Online Offline,,,2018-10-11 16:58:28,2018-10-11 17:01:14,2m - 46.609s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-11 16:58:28,2018-10-11 16:58:59,30.611s,PASSED
startApplication,,,2018-10-11 16:58:28,2018-10-11 16:58:59,30.277s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-11 16:58:59,2018-10-11 17:01:14,2m - 15.141s,FAILED
delay,,,2018-10-11 16:58:59,2018-10-11 16:59:07,8.035s,PASSED
tap,,,2018-10-11 16:59:07,2018-10-11 16:59:11,3.853s,PASSED
tap,,,2018-10-11 16:59:11,2018-10-11 16:59:14,3.564s,PASSED
tap,,,2018-10-11 16:59:14,2018-10-11 16:59:17,2.517s,PASSED
tap,,,2018-10-11 16:59:17,2018-10-11 16:59:23,6.378s,PASSED
tap,,,2018-10-11 16:59:23,2018-10-11 16:59:25,1.805s,PASSED
tap,,,2018-10-11 16:59:25,2018-10-11 16:59:36,10.434s,PASSED
tap,,,2018-10-11 16:59:36,2018-10-11 17:00:41,1m - 5.673s,PASSED
tap,,,2018-10-11 17:00:41,2018-10-11 17:00:45,3.406s,PASSED
tap,,,2018-10-11 17:00:45,2018-10-11 17:00:47,2.076s,PASSED
tap,,,2018-10-11 17:00:47,2018-10-11 17:00:55,8.050s,PASSED
tap,,,2018-10-11 17:00:55,2018-10-11 17:00:57,1.765s,PASSED
scrollToText,,,2018-10-11 17:00:57,2018-10-11 17:01:00,3.774s,PASSED
tap,,,2018-10-11 17:01:00,2018-10-11 17:01:02,1.984s,PASSED
tap,,,2018-10-11 17:01:02,2018-10-11 17:01:14,11.505s,FAILED
