Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Telco (call me on calc DONA),,,2018-11-02 11:24:52,2018-11-02 11:26:22,1m - 29.915s,PASSED
,,,,,,
Test Cases/Open,,,2018-11-02 11:24:53,2018-11-02 11:25:25,31.880s,PASSED
startApplication,,,2018-11-02 11:24:53,2018-11-02 11:25:25,31.446s,PASSED
,,,,,,
Test Cases/DONA Telco,,,2018-11-02 11:25:25,2018-11-02 11:26:22,57.016s,PASSED
delay,,,2018-11-02 11:25:25,2018-11-02 11:25:40,15.053s,PASSED
tap,,,2018-11-02 11:25:40,2018-11-02 11:25:44,4.027s,PASSED
tap,,,2018-11-02 11:25:44,2018-11-02 11:25:47,2.655s,PASSED
tap,,,2018-11-02 11:25:47,2018-11-02 11:25:52,5.711s,PASSED
delay,,,2018-11-02 11:25:52,2018-11-02 11:26:00,8.003s,PASSED
tap,,,2018-11-02 11:26:00,2018-11-02 11:26:03,2.402s,PASSED
setText,,,2018-11-02 11:26:03,2018-11-02 11:26:05,2.359s,PASSED
scrollToText,,,2018-11-02 11:26:05,2018-11-02 11:26:10,4.452s,PASSED
tap,,,2018-11-02 11:26:10,2018-11-02 11:26:12,2.170s,PASSED
tap,,,2018-11-02 11:26:12,2018-11-02 11:26:13,1.277s,PASSED
pressBack,,,2018-11-02 11:26:13,2018-11-02 11:26:14,0.593s,PASSED
delay,,,2018-11-02 11:26:14,2018-11-02 11:26:22,8.005s,PASSED
