Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA Telco,,,2018-10-11 16:33:15,2018-10-11 16:34:29,1m - 14.729s,PASSED
,,,,,,
Test Cases/Open,,,2018-10-11 16:33:15,2018-10-11 16:33:46,31.532s,PASSED
startApplication,,,2018-10-11 16:33:15,2018-10-11 16:33:46,31.132s,PASSED
,,,,,,
Test Cases/DONA Telco,,,2018-10-11 16:33:46,2018-10-11 16:34:29,42.256s,PASSED
delay,,,2018-10-11 16:33:47,2018-10-11 16:33:55,8.036s,PASSED
tap,,,2018-10-11 16:33:55,2018-10-11 16:33:58,3.243s,PASSED
tap,,,2018-10-11 16:33:58,2018-10-11 16:34:02,3.650s,PASSED
tap,,,2018-10-11 16:34:02,2018-10-11 16:34:05,2.856s,PASSED
tap,,,2018-10-11 16:34:05,2018-10-11 16:34:10,5.567s,PASSED
setText,,,2018-10-11 16:34:10,2018-10-11 16:34:12,1.948s,PASSED
scrollToText,,,2018-10-11 16:34:12,2018-10-11 16:34:16,4.433s,PASSED
tap,,,2018-10-11 16:34:16,2018-10-11 16:34:19,2.404s,PASSED
tap,,,2018-10-11 16:34:19,2018-10-11 16:34:20,1.272s,PASSED
pressBack,,,2018-10-11 16:34:20,2018-10-11 16:34:21,0.588s,PASSED
delay,,,2018-10-11 16:34:21,2018-10-11 16:34:29,8.002s,PASSED
