Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
My Home Credit Mobile App,,,2018-10-02 15:58:55,2018-10-02 15:59:58,1m - 2.596s,PASSED
,,,,,,
Test Cases/Open,,,2018-10-02 15:58:56,2018-10-02 15:59:38,42.206s,PASSED
startApplication,,,2018-10-02 15:58:56,2018-10-02 15:59:38,41.786s,PASSED
,,,,,,
Test Cases/Login,,,2018-10-02 15:59:38,2018-10-02 15:59:46,7.671s,PASSED
setText,,,2018-10-02 15:59:38,2018-10-02 15:59:42,3.215s,PASSED
setText,,,2018-10-02 15:59:42,2018-10-02 15:59:44,2.078s,PASSED
tap,,,2018-10-02 15:59:44,2018-10-02 15:59:46,2.095s,PASSED
,,,,,,
Test Cases/Logout,,,2018-10-02 15:59:46,2018-10-02 15:59:58,11.839s,PASSED
tap,,,2018-10-02 15:59:46,2018-10-02 15:59:50,4.319s,PASSED
scrollToText,,,2018-10-02 15:59:50,2018-10-02 15:59:55,4.315s,PASSED
tap,,,2018-10-02 15:59:55,2018-10-02 15:59:57,2.296s,PASSED
closeApplication,,,2018-10-02 15:59:57,2018-10-02 15:59:58,0.706s,PASSED
